[36;1manalyzer_3       |[0m 2023-01-03 11:53:10.754  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 0eff7806-adba-4898-85af-3295c6468154: (33126454632[660,570])(33126453161[1757,965])(33126453126[2868,852])
[35manalyzer_1       |[0m 2023-01-03 11:52:47.933  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job b247f2b5-02f4-40b0-b46c-da33ca11a71c: (33126454632[21,605])(33126453126[609,1168])(33126454312[2919,1471])
[35manalyzer_1       |[0m 2023-01-03 11:52:52.547  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job fe3104b2-04fa-48be-a3ac-345f52e29393: (33126453126[608,1168])(33126454312[2917,1469])
[35manalyzer_1       |[0m 2023-01-03 11:53:06.919  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 8be671ff-96b4-4363-8d5a-800829f4fa9b: (33126453626[1765,826])
[35manalyzer_1       |[0m 2023-01-03 11:53:13.008  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 0447e78e-f952-489a-b75d-50befaaa4463: (33126454632[661,570])(33126453161[1755,965])(33126453126[2868,852])
[35manalyzer_1       |[0m 2023-01-03 11:53:28.628  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 4ad9b805-bb86-48ca-85e5-928fab0e0bd1: (33126453261[2477,1536])
[35manalyzer_1       |[0m 2023-01-03 11:53:36.932  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 5da07236-133b-4a72-bbef-a3fdedee9033: (33126454632[19,606])(33126453126[608,1168])(33126454312[2918,1471])
[35manalyzer_1       |[0m 2023-01-03 11:53:55.947  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 42af9b1b-985b-4d33-afb4-83dffd0a34a6: (33126453626[1765,826])
[35manalyzer_1       |[0m 2023-01-03 11:54:00.510  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 17e31041-e460-41e8-8196-76aeba3528ec: (33126453626[1765,826])
[35manalyzer_1       |[0m 2023-01-03 11:54:17.552  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 6ecc0fb4-4e88-42bd-a723-a945d76f0dc3: (33126453261[2477,1537])(33126453262[3670,1209])
[35manalyzer_1       |[0m 2023-01-03 11:54:28.786  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 2ee20b74-23a1-4048-ae7b-55ec210b62cd: (33126454632[2931,328])
[35manalyzer_1       |[0m 2023-01-03 11:54:43.962  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 5b703c82-63a2-4a81-8266-133937ec9bc0: (33126453626[1766,826])
[35manalyzer_1       |[0m 2023-01-03 11:54:56.830  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 636106bf-29de-46e4-a7e9-d69b2777be50: (33126454132[242,427])(33126454131[1123,328])
